"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Euro area","EMU","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","22.048687971977","24.0650165861917","24.0610027350464","23.5920509363378","22.8173207565107","21.7753785304481","19.489066614479","18.3747759030603","18.700428102766","19.3114683592636","23.0661430034952","25.5142495609672","24.7725394509214","25.4618329863094","25.0699554946369","23.2137282697172","21.827180886836","19.2672491428164","17.2415467156466","17.8441704454627","18.1859003987688","18.7819653550654","19.3745219917494","18.1004885115686","16.3994602677098","17.0438627806931","21.8502123846673","23.0828805806506","23.7696686590969","26.5125602851087","27.752436550275","27.2711436993652","25.8145748595107","24.1608623590393","21.7908189590805","19.76074769333","18.4032543217472","20.5132804213266","19.7722545308777","17.0793483595379","16.7499755866439","16.7910526808838","",
"Eritrea","ERI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","12.482","17.556","21.556","28.392","34.686","38.607","41.862","46.271","47.896","46.465","43.461","41.116","34.312","31.845","30.512","33.081","42.248","44.946","41.852","41.82","39.101","35.443","29.132","25.251","20.699","21.5","22.281","22.456","19.63","17.892","18.089","24.452","37.729","41.481","46.191","52.857","55.477","53.198","48.332","44.436","38.566","34.34","32.532","38.263","35.004","29.667","28.666","26.519","24.869",
"Estonia","EST","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.672","14.87","22.057","21.136","24.003","20.239","26.853","25.661","15.146","12.121","10.096","12.022","27.391","32.921","22.375","20.857","18.677","14.965","14.354","14.135","12.188","12.097","11.657","18.489","16.712","18.561","17.301","19.126","",
"Ethiopia","ETH","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.417","","","","","","3.611","","","","","","","","3.532","","","","","","","","6.392","","","","",
"European Union","EUU","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","21.6457243581909","23.4458806298165","23.4252974681976","22.8533722460489","22.1464920946263","21.5531530184692","18.9487827686172","18.2577039775458","18.1081592612024","19.4602476075232","22.3823965492126","24.5904104715956","23.5452893402992","23.9494593084881","23.5122221344751","21.7534903382372","21.7943758682923","20.5318951031014","20.0865673117481","21.0532058076354","21.0008470691991","21.3840957997055","21.4681518076491","19.5723827298338","16.9998209663631","16.9278133305068","21.511207677691","22.9724780313087","23.7758634240524","25.9938013518877","27.0052108311844","26.0231792760229","24.271818620725","22.4652260674388","20.1380596701257","18.1598438763926","17.0147455759161","19.0608029228746","18.777699170404","16.4001966422991","16.2664157422146","16.5107624937179","",
"Fragile and conflict affected situations","FCS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","11.893","9.024","10.098","9.885","","9.79","9.091","9.479","8.916","7.848","8.418","","","","","","41.186","41.559","35.426","34.638","28.591","28.353","26.598","28.216","27.813","27.527","26.996","26.046","16.509","16.45","21.51","21.397","20.064","18.96","19.921","20.545","22.446","20.149","20.127","17.027","17.201","21.329","17.119","14.19","16.162","18.787","",
"Fiji","FJI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","14.683","","","","","","","","","","","","","","13.116","","","","","","","","","9.801","","18.689","","","","14.154","","","18.121","","15.399","","","","","","","","16.535","",
"France","FRA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","19.809","24.575","25.746","23.91","23.428","22.145","19.541","19.806","19.737","21.686","25.532","28.787","27.086","27.55","28.941","26.171","26.318","20.629","18.009","18.935","17.25","19.758","21.305","22.538","19.704","19.287","24.121","23.68","23.104","25.051","24.619","25.087","25.552","25.25","22.834","21.167","20.131","20.605","19.5","18.104","17.634","19.342","",
"Faroe Islands","FRO","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.637","6.011","3.146","7.864","11.336","17.407","12.578","9.346","9.86","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.878","","","","","","","","","","","",
"Gabon","GAB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.964","","","","","","","","","","","","","","","","","35.697","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","20.224","19.095","18.245","18.525","16.214","13.243","10.343","10.421","13.881","15.677","17.484","16.355","15.546","14.945","13.601","12.461","12.424","12.03","10.328","10.916","11.364","10.722","13.1","14.271","14.632","15.383","19.512","20.34","21.683","22.089","20.986","17.582","15.232","13.255","12.572","11.707","10.754","13.624","12.961","10.664","11.959","14.29","15.2",
"Georgia","GEO","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.574","21.118","20.07","27.926","24.928","28.298","28.286","","31.513","37.549","44.278","41.544","41.867","38.227","41.033","38.19","36.87","36.033","28.887","29.902","30.355","31.291","29.95","28.971","25.791","21.358","",
"Ghana","GHA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.63","","","","","","","15.9","","16.726","","","","","","10.03","","","","11.349","","","4.627","","15.177","","6.226","","","","1.156","5.191","6.863","9.994","",
"Gibraltar","GIB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.668","","","","","","","","","","","","5.888","","","","","7.137","","","","","","",
"Gambia, The","GMB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.473","","","","","","7.019","","","","","10.641","","",
"Guinea-Bissau","GNB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.849","2.637","","","2.837","","","",
"Equatorial Guinea","GNQ","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","14.216","19.542","23.058","23.95","24.177","24.245","25.456","26.439","25.091","23.545","24.491","27.512","30.828","29.651","31.124","32.417","32.844","32.42","31.739","29.299","28.103","26.974","26.753","26.8","26.023","24.859","22.883","21.764","25.609","33.148","45.125","55.827","58.664","52.768","49.841","47.347","43.529","40.142","34.894","33.871","35.525","31.369","26.618","22.418","",
"Grenada","GRD","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.035","","","44.455","","30.146","","31.472","","","","","","","","","","","","","","","","","","","","25.381","23.026","26.361","33.5","","18.137","","",
"Greenland","GRL","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.419","16.582","17.464","17.011","18.455","15.653","","","","","","","","","","",
"Guatemala","GTM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.466","4.426","5.487","","3.707","","","","5.382","7.535","4.73","5.62","5.852","5.698","5.693","5.03","4.75","4.572","","3.871","6.591","4.339","3.819","",
"Guam","GUM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","23.529","","","16.387","","","","","","","","","","","","","","","","28.224","","12.557","13.193","15.787","19.215","","26.034","","29.396","","","","","","","","","","","","","","",
"Guyana","GUY","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.537","","","","","26.8","","","","","","","","","","24.078","","","","","","","","","","","","","","","","25.592","26.685","","","","","","",
"High income","HIC","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","17.2750217899781","16.7415971849825","16.5027602527521","16.0583580918069","15.2539020680613","14.1760656715024","12.8218786062064","12.641986378863","13.7311040732054","14.749927292074","15.5099549938369","15.8103132247993","15.7644932053828","16.0883735434099","16.1710837678261","15.3214646391652","15.1880544332569","14.3370554985848","14.3277049524478","15.291763713844","15.5732703641969","15.2753299061318","15.0539753127935","14.3427901770988","13.6677334202236","14.2012438287969","18.2230623244918","18.1660453767152","17.7538612363696","18.4150620141306","18.3199660319331","17.2445629250174","15.8261620815776","14.7469067435816","14.0617560974824","13.1831078981573","12.5100967012618","16.1990166165448","13.7155259560819","11.7837203144531","11.3193670953872","11.5305693382318","",
"Hong Kong SAR, China","HKG","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","6.46","7.083","4.343","5.972","6.77","6.618","5.952","5.73","3.853","3.386","2.762","3.425","4.2","4.33","4.49","4.34","6.87","6.65","5.21","10.54","","11.19","11.27","14.95","14.97","12.14","10.72","10.4","8.99","8.54","12.55","12.158","9.306","9.268","9.487","9.248","10.483","9.761","8.557","8.75","8.541","15.556","12.819","11.044","8.928","9.451","",
"Honduras","HND","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.743","6.221","5.533","5.539","5.989","7.482","8.019","6.956","9.902","11.87","11.021","12.601","10.785","10.658","10.93","17.845","14.349","13.803","10.805","8.666","8.371",
"Heavily indebted poor countries (HIPC)","HPC","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.216","","","","","","","","","","","36.306","35.818","32.763","32.263","28.878","25.18","23.682","25.238","32.373","36.655","42.496","50.5","45.724","42.325","30.945","27.388","23.452","16.677","20.641","21.531","17.75","18.946","16.796","",
"Haiti","HTI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.893","","","","","","","","","17.9","","","","44.685","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.387","16.863","15.19","12.255","12.261","10.707","11.419","12.855","14.4","19.377","19.147","18.026","19.506","26.424","26.415","25.978","28.199","26.565","20.393","17.279","12.926","10.706","10.171","11.539","12.949","13.65","10.587","12.809","15.158","",
"IBRD only","IBD","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0439200311735","","","","","","","","","","","","14.0974865946219","","","","","","19.1961418286893","18.1255878563792","19.9015302488074","18.5968768588483","17.253604142724","","","",
"IDA & IBRD total","IBT","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0096533550507","16.3577401125423","18.512092748412","17.1853902997381","","","","",
"IDA total","IDA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.37301898899916","","7.68833352726817","5.92887915949549","7.18200404133642","8.14476626535973","","","9.57572367682415","","","","","","",
"Indonesia","IDN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.954","8.209","8.585","8.915","13.61","","15.45","15.514","17.132","19.844","19.862","19.862","22.449","22.083","24.417","26.219","24.536","22.604","19.531","18.888","17.565","18.395","15.486","15.732","15.725","17.026","15.821","14.451","16.284","13.578","14.799","13.867","14.141","13.119","","",
"IDA only","IDX","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.553","","","","","7.554","","","","","3.975","","","","","7.287","","","","","10.123","","","","","7.172","","","","","","","","","",
"India","IND","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.23","","","","","","8.064","","","","","9.049","","","","","9.603","","9.872","","","","","","26.171","22.689","24.541","20.684","17.856","15.469","15.562","",
"Not classified","INX","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","21.311","23.372","24.988","26.172","25.961","25.205","21.814","19.714","23.101","22.731","25.003","23.014","18.961","18.122","15.906","11.435","8.563","6.527","6.177","7.818","8.131","8.287","8.249","8.27","9.157","13.467","24.5","28.144","29.587","30.797","26.736","23.416","20.229","16.8","14.409","13.754","12.458","15.262","15.669","9.444","10.246","12.374","",
"Iran, Islamic Rep.","IRN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.539","23.659","22.43","23.13","24.798","28.739","26.639","26.857","24.143","25.246","26.226","29.309","28.471","27.715","26.074","23.728","23.708","22.63","21.187","20.158","",
"Iraq","IRQ","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.276","","","","","16.057","","19.986","","22.672","25.573","","","","35.37","","","","",
"Iceland","ISL","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.184","8.689","8.107","7.006","4.29","4.394","5.068","6.355","12.453","12.113","7.369","8.289","7.014","8.2","15.856","16.225","14.441","13.534","10.638","9.787","8.825","6.512","7.867","6.078","8.74","10.03","12.069","8.652","8.759","9.087","",
"Israel","ISR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","7.798","","9.832","","9.87","8.043","13.253","14.331","14.06","12.831","16.253","17.313","18.917","15.378","15.764","20.647","","","","","","","","","","","","","","","","","18.242","16.053","12.634","14.587","13.688","11.582","12.065","10.459","10.495","9.252","8.567","7.194","7.067","6.561","7.692","7.682","6.765","5.917","4.561","",
"Italy","ITA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","24.813","25.365","25.024","","29.433","28.895","31.473","32.083","33.307","33.732","33.255","31.785","28.947","28.15","28.317","30.163","31.789","33.47","34.735","34.557","33.765","32.95","31.465","27.834","27.14","26.803","24.443","24.118","21.763","20.361","21.204","25.34","27.903","29.157","35.316","40.041","42.681","40.324","37.769","34.742","32.21","29.125","29.654","29.676","23.703","22.726","20.316","",
"Jamaica","JAM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","35.352","40.594","","43.525","","93.02","45.148","48.683","","","85.13","","","57.501","","31.759","","28.273","29.5","27.297","34.137","34.414","33.451","33.192","33.998","","33.065","","21.252","28.086","","","","18.208","19.531","21.431","21.218","24.234","27.463","26.217","","24.115","20.987","17.174","15.041","18.875","15.614","12.029","9.076","","",
"Jordan","JOR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9","35.625","35.244","38.868","37.315","42.959","43.738","41.917","39.233","","",
"Japan","JPN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","1.8","1.9","2","2","2.5","2.2","2.4","3.1","3.1","3.5","3.8","3.7","3.6","3.9","4.4","4.5","4.9","4.8","5.2","5.2","4.9","4.6","4.3","4.5","4.4","5","5.6","6.1","6.6","6.7","7.7","9.1","9.19","9.581","10.037","10.167","9.538","8.677","8.271","7.844","7.29","9.179","9.432","8.304","8.223","6.801","6.291","5.467","5.114","4.61","3.666","3.934","4.676","4.707","4.438","4.1","4","3.8",
"Kazakhstan","KAZ","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.334","14.527","14.272","","","","7.406","6.679","5.206","4.574","3.926","3.914","","4.091","","3.78","","","3.776","","3.814","","","",
"Kenya","KEN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.285","","","","","","19.653","","","","","","","","","","","7.355","","","12.854","","12.335","16.704","","","",
"Kyrgyz Republic","KGZ","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.084","","15.242","14.453","14.566","","","16.845","16.57","15.315","12.952","8.866","8.591","7.748","8.056","7.048","9.574","12.85","11.877","11.665","10.953","8.464","","",
"Cambodia","KHM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.404","0.954","12.177","","5.343","3.59","","1.461","","","","2.071","1.339","0.803","0.967","0.599","1.581","0.754","1.045","0.731","1.115","0.383","","1.657","0.476","0.833","","0.737","","",
"Kiribati","KIR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.332","","","","","","","","","","17.116","","","","22.29","27.013","","","7.657","","",
"St. Kitts and Nevis","KNA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","18.367","","","","","","","","","","","10.318","","","","","","","","","","11.025","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","8.98","","","","","","","","","","","","","","","","","","","","","","","","","10.213","9.558","8.095","9.674","10.088","9.557","9.125","8.013","8.823","9.374","8.66","8.423","7.847","9.083","8.717","10.043","10.286","9.918","10.248","9.953","10.26","8.124","6.7","5.437","6.48","5.705",
"Kuwait","KWT","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","4.738","","","","","","","","","","","","","","","","","","","","","","11.322","","","","","","14.555","","","13.9","15.312","15.427","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.35839566331","16.367353683173","16.6679332727178","16.4833770358136","14.2395189953799","14.0939960935954","14.0102132423925","15.5577667064838","","13.96407454697","12.9277402133075","13.1923350467291","12.9829436021784","13.7392727215838","16.637193580776","17.4442382932373","17.3276982629022","17.3410645342787","21.032956714342","18.2247089967872","14.2794018881236","12.6932139585003","10.87514053577","",
"Lao PDR","LAO","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.768","","","","","4.011","","5.94","","","","","2.258","","","",
"Lebanon","LBN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.879","","","22.101","","","","","","","","","","","","23.316","","","","","","",
"Liberia","LBR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.306","","","","1.545","","2.304","8.832","","","","","","","","",
"Libya","LBY","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7","","","","","","","","","","","","","",
"St. Lucia","LCA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.364","40.757","38.626","34.858","27.405","","","","","","","","","38.547","45.618","42.987","37.305","43.878","44.951","32.089","32.556","21.933","",
"Latin America & Caribbean","LCN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5924111288434","16.6873091205252","16.7682573848526","16.6865593026597","14.5348574591296","14.1430564783533","13.9905580102588","15.6954868833987","","14.2225293088979","13.2506095714239","13.3680482501137","13.2085226659848","13.9642373962221","16.3753065150453","17.2214569147421","17.4604898705047","17.5582497282206","21.1783189838328","18.5509768727649","14.6058196491947","13.1320543208591","11.3742633215842","",
"Least developed countries: UN classification","LDC","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.021","3.689","3.672","4.337","4.182","4.297","4.651","4.749","","2.991","","","","","","","","",
"Sri Lanka","LKA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.61","34.856","35.179","32.919","32.133","26.124","26.797","23.646","","","26.213","26.53","26.357","21.623","21.223","18.53","21.255","18.967","16.809","17.293","18.437","19.714","20.137","21.048","18.016","21.065","21.031","25.923","25.884","22.074","22.587","","",
"Lower middle income","LMC","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.32031088023717","","","","","11.611405058013","","","","","9.2379768169546","","10.6551464184539","","","","","","21.1249475658742","17.442543220649","20.3791513503559","17.8295081190801","15.1645362474708","13.0918984966715","13.2740775101983","",
"Low & middle income","LMY","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0862849508541","16.4054287462276","18.5659331505762","17.5509545587951","","","","",
"Lesotho","LSO","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.539","","","","","","","","","48.619","","","","","34.43","","","","","","25.589","","","","","31.079","",
