"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Belgium","BEL","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","23.908","25.206","23.544","21.068","21.411","18.066","15.491","14.465","13.978","13.218","18.46","21.847","21.511","20.474","21.256","20.383","22.571","15.248","15.333","15.652","18.984","17.503","21.482","20.512","18.842","17.972","21.944","22.399","18.733","19.75","23.702","23.23","22.132","20.123","19.248","15.752","14.241","15.331","18.209","16.397","16.083","17.418","",
"Benin","BEN","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.268","","","","","","1.694","","","","","","","","","","0.823","","","","","","","","2.384","5.628","","3.893","","","","","","2.316","","","3.166","","","",
"Burkina Faso","BFA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.82","","","","","","","","8.697","","","","8.619","2.028","","","3.421","8.581","6.759","",
"Bangladesh","BGD","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","2.197","","","2.54","","","","","","","7.016","","","","10.726","","","6.633","","9.265","7.601","","","","6.356","6.872","","9.876","","","10.2","12.763","","","","","11.468","8.239","9.634","",
"Bulgaria","BGR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.887","","","33.33","39.255","35.605","27.073","24.472","22.346","19.514","15.117","12.728","16.157","21.919","25.027","28.094","28.361","23.775","21.646","17.222","12.926","12.678","8.807","14.217","15.782","10.62","12.092","12.344","",
"Bahrain","BHR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.372","","","","","","","","","","20.096","","","","","","","","","5.031","5.624","5.303","","","3.035","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.614","22.853","27.12","22.941","24.646","20.984","23.781","22.196","15.728","15.776","","15.055","","24.046","","20.179","","18.901","17.112","26.202","","","30.79","","","","25.839","","24.1","19.451","","","","17.888","","",
"Bosnia and Herzegovina","BIH","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.666","","","","","62.308","58.422","47.526","48.703","57.716","57.873","63.109","59.119","62.659","62.318","54.313","45.812","38.822","33.792","36.636","35.073","31.668","27.315","27.885","",
"Belarus","BLR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.507","","","","","","","","","","12.782","","","","","","","10.719","9.319","10.652","10.205","12.037","10.505","10.287","10.587","10.116","",
"Belize","BLZ","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.534","","","","","","","","","","","","","","","","","","25.031","16.827","18.188","16.398","16.279","15.314","21.348","19.303","","","","","","",
